metric,black_friday,baseline,diff,ci_low,ci_high,black_friday_sessions,baseline_sessions
cart_rate,0.1170956209930635,0.13427916290040168,-0.017183541907338173,-0.017632866516381206,-0.01673421729829514,2390542,12490270
purchase_rate,0.0560375011189931,0.05680485690061143,-7.673557816183368E-4,-0.001085922580253998,-4.4878898298267566E-4,2390542,12490270
